Expert,Level,Affinity,Advancement,Stat Boosted,Stats,Relationship Status
Agnes,1,1000,0,Troops Defense,1.58%,Stranger
Agnes,2,240,0,Troops Defense,1.65%,Stranger
Agnes,3,260,0,Troops Defense,1.73%,Stranger
Agnes,4,270,0,Troops Defense,1.80%,Stranger
Agnes,5,280,0,Troops Defense,1.88%,Stranger
Agnes,6,290,0,Troops Defense,1.95%,Stranger
Agnes,7,320,0,Troops Defense,2.03%,Stranger
Agnes,8,340,0,Troops Defense,2.10%,Stranger
Agnes,9,360,0,Troops Defense,2.18%,Stranger
Agnes,10,390,5,Troops Defense,2.85%,Acquaintance 1
Agnes,11,410,0,Troops Defense,2.93%,Acquaintance 1
Agnes,12,440,0,Troops Defense,3.00%,Acquaintance 1
Agnes,13,460,0,Troops Defense,3.08%,Acquaintance 1
Agnes,14,480,0,Troops Defense,3.15%,Acquaintance 1
Agnes,15,510,0,Troops Defense,3.23%,Acquaintance 1
Agnes,16,530,0,Troops Defense,3.30%,Acquaintance 1
Agnes,17,560,0,Troops Defense,3.38%,Acquaintance 1
Agnes,18,580,0,Troops Defense,3.45%,Acquaintance 1
Agnes,19,600,0,Troops Defense,3.53%,Acquaintance 1
Agnes,20,630,10,Troops Defense,4.20%,Acquaintance 2
Agnes,21,650,0,Troops Defense,4.28%,Acquaintance 2
Agnes,22,680,0,Troops Defense,4.35%,Acquaintance 2
Agnes,23,700,0,Troops Defense,4.43%,Acquaintance 2
Agnes,24,720,0,Troops Defense,4.50%,Acquaintance 2
Agnes,25,750,0,Troops Defense,4.58%,Acquaintance 2
Agnes,26,770,0,Troops Defense,4.65%,Acquaintance 2
Agnes,27,800,0,Troops Defense,4.73%,Acquaintance 2
Agnes,28,820,0,Troops Defense,4.80%,Acquaintance 2
Agnes,29,840,0,Troops Defense,4.88%,Acquaintance 2
Agnes,30,880,15,Troops Defense,5.55%,Acquaintance 3
Agnes,31,920,0,Troops Defense,5.63%,Acquaintance 3
Agnes,32,950,0,Troops Defense,5.70%,Acquaintance 3
Agnes,33,990,0,Troops Defense,5.78%,Acquaintance 3
Agnes,34,1020,0,Troops Defense,5.85%,Acquaintance 3
Agnes,35,1060,0,Troops Defense,5.93%,Acquaintance 3
Agnes,36,110,0,Troops Defense,6.00%,Acquaintance 3
Agnes,37,1130,0,Troops Defense,6.08%,Acquaintance 3
Agnes,38,1170,0,Troops Defense,6.15%,Acquaintance 3
Agnes,39,1200,0,Troops Defense,6.23%,Acquaintance 3
Agnes,40,1250,20,Troops Defense,6.90%,Casual 1
Agnes,41,1300,0,Troops Defense,6.98%,Casual 1
Agnes,42,1350,0,Troops Defense,7.05%,Casual 1
Agnes,43,1400,0,Troops Defense,7.13%,Casual 1
Agnes,44,1440,0,Troops Defense,7.20%,Casual 1
Agnes,45,1490,0,Troops Defense,7.28%,Casual 1
Agnes,46,1540,0,Troops Defense,7.35%,Casual 1
Agnes,47,1590,0,Troops Defense,7.43%,Casual 1
Agnes,48,1640,0,Troops Defense,7.50%,Casual 1
Agnes,49,1680,0,Troops Defense,7.58%,Casual 1
Agnes,50,1740,25,Troops Defense,8.25%,Casual 2
Agnes,51,1800,0,Troops Defense,8.33%,Casual 2
Agnes,52,1860,0,Troops Defense,8.40%,Casual 2
Agnes,53,1920,0,Troops Defense,8.48%,Casual 2
Agnes,54,1980,0,Troops Defense,8.55%,Casual 2
Agnes,55,2040,0,Troops Defense,8.63%,Casual 2
Agnes,56,2100,0,Troops Defense,8.70%,Casual 2
Agnes,57,2160,0,Troops Defense,8.78%,Casual 2
Agnes,58,2220,0,Troops Defense,8.85%,Casual 2
Agnes,59,2280,0,Troops Defense,8.93%,Casual 2
Agnes,60,2340,30,Troops Defense,9.60%,Casual 3
Agnes,61,2400,0,Troops Defense,9.68%,Casual 3
Agnes,62,2460,0,Troops Defense,9.75%,Casual 3
Agnes,63,2520,0,Troops Defense,9.83%,Casual 3
Agnes,64,2580,0,Troops Defense,9.90%,Casual 3
Agnes,65,2640,0,Troops Defense,9.98%,Casual 3
Agnes,66,2700,0,Troops Defense,10.05%,Casual 3
Agnes,67,2760,0,Troops Defense,10.13%,Casual 3
Agnes,68,2820,0,Troops Defense,10.20%,Casual 3
Agnes,69,2880,0,Troops Defense,10.28%,Casual 3
Agnes,70,2940,35,Troops Defense,10.95%,Close 1
Agnes,71,3000,0,Troops Defense,11.03%,Close 1
Agnes,72,3060,0,Troops Defense,11.10%,Close 1
Agnes,73,3120,0,Troops Defense,11.18%,Close 1
Agnes,74,3180,0,Troops Defense,11.25%,Close 1
Agnes,75,3240,0,Troops Defense,11.33%,Close 1
Agnes,76,3300,0,Troops Defense,11.40%,Close 1
Agnes,77,3360,0,Troops Defense,11.48%,Close 1
Agnes,78,3420,0,Troops Defense,11.55%,Close 1
Agnes,79,3480,0,Troops Defense,11.63%,Close 1
Agnes,80,3540,40,Troops Defense,12.30%,Close 2
Agnes,81,3600,0,Troops Defense,12.38%,Close 2
Agnes,82,3660,0,Troops Defense,12.45%,Close 2
Agnes,83,3720,0,Troops Defense,12.53%,Close 2
Agnes,84,3780,0,Troops Defense,12.60%,Close 2
Agnes,85,3840,0,Troops Defense,12.68%,Close 2
Agnes,86,3900,0,Troops Defense,12.75%,Close 2
Agnes,87,3960,0,Troops Defense,12.83%,Close 2
Agnes,88,4020,0,Troops Defense,12.90%,Close 2
Agnes,89,4080,0,Troops Defense,12.98%,Close 2
Agnes,90,4140,45,Troops Defense,13.65%,Close 3
Agnes,91,4200,0,Troops Defense,13.73%,Close 3
Agnes,92,4260,0,Troops Defense,13.80%,Close 3
Agnes,93,4320,0,Troops Defense,13.88%,Close 3
Agnes,94,4380,0,Troops Defense,13.95%,Close 3
Agnes,95,4440,0,Troops Defense,14.03%,Close 3
Agnes,96,4500,0,Troops Defense,14.10%,Close 3
Agnes,97,4560,0,Troops Defense,14.18%,Close 3
Agnes,98,4620,0,Troops Defense,14.25%,Close 3
Agnes,99,4680,0,Troops Defense,14.33%,Close 3
Agnes,100,4740,50,Troops Defense,15.00%,Intimate
Cyrille,1,1000,0,Troops Attack,1.58%,Stranger
Cyrille,2,200,0,Troops Attack,1.65%,Stranger
Cyrille,3,210,0,Troops Attack,1.73%,Stranger
Cyrille,4,220,0,Troops Attack,1.80%,Stranger
Cyrille,5,230,0,Troops Attack,1.88%,Stranger
Cyrille,6,240,0,Troops Attack,1.95%,Stranger
Cyrille,7,260,0,Troops Attack,2.03%,Stranger
Cyrille,8,280,0,Troops Attack,2.10%,Stranger
Cyrille,9,300,0,Troops Attack,2.18%,Stranger
Cyrille,10,320,5,Troops Attack,2.85%,Acquaintance 1
Cyrille,11,340,0,Troops Attack,2.93%,Acquaintance 1
Cyrille,12,360,0,Troops Attack,3.00%,Acquaintance 1
Cyrille,13,380,0,Troops Attack,3.08%,Acquaintance 1
Cyrille,14,400,0,Troops Attack,3.15%,Acquaintance 1
Cyrille,15,420,0,Troops Attack,3.23%,Acquaintance 1
Cyrille,16,440,0,Troops Attack,3.30%,Acquaintance 1
Cyrille,17,460,0,Troops Attack,3.38%,Acquaintance 1
Cyrille,18,480,0,Troops Attack,3.45%,Acquaintance 1
Cyrille,19,500,0,Troops Attack,3.53%,Acquaintance 1
Cyrille,20,520,10,Troops Attack,4.20%,Acquaintance 2
Cyrille,21,540,0,Troops Attack,4.28%,Acquaintance 2
Cyrille,22,560,0,Troops Attack,4.35%,Acquaintance 2
Cyrille,23,580,0,Troops Attack,4.43%,Acquaintance 2
Cyrille,24,600,0,Troops Attack,4.50%,Acquaintance 2
